participant,condition,engine,trial_index,audio_identifier,speaker,voice_type,window_width,window_height,person_side,robot_side,gaze_sample_count,gaze_duration_ms,person_dwell_ms,robot_dwell_ms,off_dwell_ms,total_observed_gaze_time_ms,person_gaze_pct,eyetracking_mos,gaze_sample_rate_hz,gaze_sample_rate_hz_strict,valid_dwell_pct,person_box_left,person_box_top,person_box_right,person_box_bottom,robot_box_left,robot_box_top,robot_box_right,robot_box_bottom
P14,A,new,91,05 segundos brpe-29-gt M-n-20db,brpe-29,natural,1280.0,800.0,right,left,162,5369.0,5142.0,227.0,0.0,5369.0,95.7720245855839,5,30.17321661389458,29.98696219035202,100.0,861.5,196.25,1266.5,601.25,13.5,196.25,418.5,601.25
P14,A,new,117,07 segundos brpr-29-syntacc-295Ksteps F-n-20db,brpr-29,synthetic,1280.0,800.0,right,left,211,7231.0,736.0,6100.0,395.0,7231.0,10.766530134581627,1,29.179919789793942,29.04162633107454,94.5374083805836,861.5,196.75,1266.5,600.75,13.5,196.25,418.5,601.25
P14,A,new,99,05 segundos brrs-28-gt M-n-20db,brrs-28,natural,1280.0,800.0,left,right,161,5491.0,4627.0,756.0,108.0,5491.0,85.95578673602081,5,29.320706610817705,29.138590420688402,98.03314514660353,13.5,196.25,418.5,601.25,861.5,196.25,1266.5,601.25
P14,A,new,84,05 segundos brce-22-syntacc-295Ksteps M-n-20db,brce-22,synthetic,1280.0,800.0,left,right,151,5056.0,510.0,4546.0,0.0,5056.0,10.087025316455696,1,29.865506329113924,29.667721518987342,100.0,13.5,196.25,418.5,601.25,861.5,196.25,1266.5,601.25
P14,A,new,100,05 segundos brrs-29-syntacc-295Ksteps F-n-20db,brrs-29,synthetic,1280.0,800.0,right,left,163,5560.0,3515.0,1645.0,400.0,5560.0,68.12015503875969,4,29.31654676258993,29.136690647482016,92.80575539568345,861.5,196.75,1266.5,600.75,13.5,196.25,418.5,601.25
P14,A,new,115,07 segundos brpe-20-syntacc-295Ksteps M-n-20db,brpe-20,synthetic,1280.0,800.0,right,left,212,7141.0,4509.0,1867.0,765.0,7141.0,70.71831869510665,4,29.68771880688979,29.54768239742333,89.2872146758157,861.5,196.25,1266.5,601.25,13.5,196.25,418.5,601.25
P14,A,new,87,05 segundos brmg-29-syntacc-295Ksteps M-n-20db,brmg-29,synthetic,1280.0,800.0,right,left,155,5132.0,4016.0,1116.0,0.0,5132.0,78.25409197194077,4,30.202650038971164,30.007794232268125,100.0,861.5,196.25,1266.5,601.25,13.5,196.25,418.5,601.25
P14,A,new,104,06 segundos bral-26-gt M-n-20db,bral-26,natural,1280.0,800.0,left,right,190,6375.0,6251.0,124.0,0.0,6375.0,98.0549019607843,5,29.80392156862745,29.647058823529413,100.0,13.5,196.25,418.5,601.25,861.5,196.25,1266.5,601.25
P14,A,new,67,04 segundos brpr-19-syntacc-295Ksteps F-n-20db,brpr-19,synthetic,1280.0,800.0,left,right,140,4648.0,1514.0,2946.0,188.0,4648.0,33.946188340807176,2,30.120481927710845,29.905335628227196,95.9552495697074,13.5,196.75,418.5,600.75,861.5,196.25,1266.5,601.25
P14,A,new,88,05 segundos brpb-22-gt M-n-20db,brpb-22,natural,1280.0,800.0,right,left,150,5057.0,4071.0,938.0,48.0,5057.0,81.27370732681175,5,29.66185485465691,29.464109155625863,99.05082064465098,861.5,196.25,1266.5,601.25,13.5,196.25,418.5,601.25
